Order ID,Date,Time,Item,Category,Quantity,Unit Price,Total Sales,Payment Method,Rating,Datetime
20,2025-12-31,11:11:00.974478,Ham & Cheese,Sandwich,1,6.5,6.5,Card,3,2025-12-31 11:11:00.974478
21,2025-11-25,12:54:00.974478,Mocha,Coffee,1,4.5,4.5,Card,3,2025-11-25 12:54:00.974478
22,2025-12-14,08:33:00.974478,Mocha,Coffee,1,4.5,4.5,Cash,5,2025-12-14 08:33:00.974478
23,2025-09-10,13:08:00.974478,Herbal Tea,Tea,1,3.0,3.0,Card,5,2025-09-10 13:08:00.974478
24,2025-09-21,11:58:00.974478,Turkey Club,Sandwich,1,7.5,7.5,Cash,4,2025-09-21 11:58:00.974478
25,2026-01-12,09:20:00.974478,Espresso,Coffee,1,2.5,2.5,Card,3,2026-01-12 09:20:00.974478
26,2026-01-15,03:44:00.974478,Green Tea,Tea,1,2.75,2.75,Card,5,2026-01-15 03:44:00.974478
27,2025-12-31,13:51:00.974478,Turkey Club,Sandwich,1,7.5,7.5,Card,5,2025-12-31 13:51:00.974478
28,2026-01-15,08:24:00.974478,Cappuccino,Coffee,1,3.75,3.75,Card,4,2026-01-15 08:24:00.974478
29,2025-08-01,14:55:00.974478,Green Tea,Tea,2,2.75,5.5,Cash,5,2025-08-01 14:55:00.974478
30,2025-08-24,12:51:00.974478,Ham & Cheese,Sandwich,1,6.5,6.5,Mobile Payment,5,2025-08-24 12:51:00.974478
31,2025-07-30,12:33:00.974478,Latte,Coffee,2,4.0,8.0,Card,3,2025-07-30 12:33:00.974478
32,2025-11-22,08:00:00.974478,Bagel,Bakery,1,2.5,2.5,Cash,5,2025-11-22 08:00:00.974478
33,2025-11-16,00:09:00.974478,Black Tea,Tea,1,2.5,2.5,Card,4,2025-11-16 00:09:00.974478
34,2025-09-20,07:16:00.974478,Muffin,Bakery,1,2.75,2.75,Mobile Payment,4,2025-09-20 07:16:00.974478
35,2026-01-09,09:37:00.974478,Ham & Cheese,Sandwich,1,6.5,6.5,Card,5,2026-01-09 09:37:00.974478
36,2025-10-22,15:25:00.974478,Green Tea,Tea,1,2.75,2.75,Card,4,2025-10-22 15:25:00.974478
37,2025-12-15,08:57:00.974478,Latte,Coffee,1,4.0,4.0,Cash,5,2025-12-15 08:57:00.974478
38,2025-12-05,05:45:00.974478,Croissant,Bakery,1,3.5,3.5,Mobile Payment,4,2025-12-05 05:45:00.974478
39,2025-07-24,07:57:00.974478,Green Tea,Tea,1,2.75,2.75,Mobile Payment,4,2025-07-24 07:57:00.974478
40,2025-10-01,11:15:00.974478,Chai Latte,Tea,1,4.25,4.25,Card,5,2025-10-01 11:15:00.974478
41,2025-10-28,08:54:00.974478,Latte,Coffee,1,4.0,4.0,Cash,5,2025-10-28 08:54:00.974478
42,2025-12-30,07:37:00.974478,Veggie Wrap,Sandwich,2,7.0,14.0,Card,4,2025-12-30 07:37:00.974478
43,2025-11-27,04:12:00.974478,Americano,Coffee,1,3.0,3.0,Cash,1,2025-11-27 04:12:00.974478
44,2025-12-16,09:04:00.974478,Latte,Coffee,1,4.0,4.0,Cash,4,2025-12-16 09:04:00.974478
45,2025-11-01,11:39:00.974478,Herbal Tea,Tea,1,3.0,3.0,Mobile Payment,3,2025-11-01 11:39:00.974478
46,2025-11-27,08:13:00.974478,Black Tea,Tea,1,2.5,2.5,Mobile Payment,5,2025-11-27 08:13:00.974478
47,2025-12-19,08:51:00.974478,Turkey Club,Sandwich,1,7.5,7.5,Cash,5,2025-12-19 08:51:00.974478
48,2025-07-30,09:18:00.974478,Black Tea,Tea,1,2.5,2.5,Card,5,2025-07-30 09:18:00.974478
49,2025-08-10,13:24:00.974478,Croissant,Bakery,1,3.5,3.5,Card,4,2025-08-10 13:24:00.974478
50,2025-08-17,11:08:00.974478,Herbal Tea,Tea,2,3.0,6.0,Mobile Payment,5,2025-08-17 11:08:00.974478
51,2025-08-09,11:48:00.974478,Turkey Club,Sandwich,1,7.5,7.5,Card,5,2025-08-09 11:48:00.974478
52,2025-10-15,10:54:00.974478,Mocha,Coffee,1,4.5,4.5,Card,5,2025-10-15 10:54:00.974478
53,2025-07-19,00:54:00.974478,Mocha,Coffee,1,4.5,4.5,Card,5,2025-07-19 00:54:00.974478
54,2025-08-13,11:51:00.974478,Ham & Cheese,Sandwich,1,6.5,6.5,Cash,4,2025-08-13 11:51:00.974478
55,2025-07-26,08:05:00.974478,Cappuccino,Coffee,1,3.75,3.75,Cash,5,2025-07-26 08:05:00.974478
56,2025-09-01,11:52:00.974478,Turkey Club,Sandwich,1,7.5,7.5,Card,4,2025-09-01 11:52:00.974478
57,2025-09-17,08:51:00.974478,Muffin,Bakery,1,2.75,2.75,Mobile Payment,4,2025-09-17 08:51:00.974478
58,2026-01-08,13:06:00.974478,Turkey Club,Sandwich,1,7.5,7.5,Cash,5,2026-01-08 13:06:00.974478
59,2025-12-15,10:42:00.974478,Mocha,Coffee,1,4.5,4.5,Card,5,2025-12-15 10:42:00.974478
60,2025-12-22,08:39:00.974478,Herbal Tea,Tea,1,3.0,3.0,Cash,4,2025-12-22 08:39:00.974478
61,2025-08-27,14:23:00.974478,Bagel,Bakery,3,2.5,7.5,Mobile Payment,4,2025-08-27 14:23:00.974478
62,2025-10-14,01:04:00.974478,Bagel,Bakery,2,2.5,5.0,Card,5,2025-10-14 01:04:00.974478
63,2026-01-03,15:47:00.974478,Muffin,Bakery,2,2.75,5.5,Card,4,2026-01-03 15:47:00.974478
64,2025-07-19,12:55:00.974478,Muffin,Bakery,1,2.75,2.75,Card,5,2025-07-19 12:55:00.974478
65,2025-12-21,14:39:00.974478,Mocha,Coffee,1,4.5,4.5,Card,3,2025-12-21 14:39:00.974478
66,2025-07-28,10:04:00.974478,Veggie Wrap,Sandwich,3,7.0,21.0,Card,5,2025-07-28 10:04:00.974478
67,2025-11-14,13:38:00.974478,Latte,Coffee,1,4.0,4.0,Cash,5,2025-11-14 13:38:00.974478
68,2025-11-12,08:48:00.974478,Cappuccino,Coffee,1,3.75,3.75,Cash,5,2025-11-12 08:48:00.974478
69,2025-11-23,12:36:00.974478,Black Tea,Tea,2,2.5,5.0,Card,5,2025-11-23 12:36:00.974478
70,2025-10-12,12:25:00.974478,Green Tea,Tea,1,2.75,2.75,Cash,5,2025-10-12 12:25:00.974478
71,2025-11-01,13:57:00.974478,Scone,Bakery,1,3.0,3.0,Card,3,2025-11-01 13:57:00.974478
72,2025-11-09,10:50:00.974478,Mocha,Coffee,1,4.5,4.5,Card,5,2025-11-09 10:50:00.974478
73,2025-11-26,08:58:00.974478,Black Tea,Tea,1,2.5,2.5,Card,2,2025-11-26 08:58:00.974478
74,2025-10-01,12:26:00.974478,Veggie Wrap,Sandwich,1,7.0,7.0,Card,5,2025-10-01 12:26:00.974478
75,2025-11-19,11:16:00.974478,Bagel,Bakery,1,2.5,2.5,Cash,3,2025-11-19 11:16:00.974478
76,2025-10-15,05:50:00.974478,Latte,Coffee,1,4.0,4.0,Card,5,2025-10-15 05:50:00.974478
77,2025-10-24,11:34:00.974478,Veggie Wrap,Sandwich,3,7.0,21.0,Card,4,2025-10-24 11:34:00.974478
78,2025-08-08,12:12:00.974478,Turkey Club,Sandwich,1,7.5,7.5,Card,3,2025-08-08 12:12:00.974478
79,2025-10-19,02:17:00.974478,Latte,Coffee,3,4.0,12.0,Cash,5,2025-10-19 02:17:00.974478
80,2026-01-06,09:23:00.974478,Scone,Bakery,1,3.0,3.0,Card,4,2026-01-06 09:23:00.974478
81,2025-10-25,10:55:00.974478,Ham & Cheese,Sandwich,1,6.5,6.5,Cash,4,2025-10-25 10:55:00.974478
82,2026-01-10,14:06:00.974478,Croissant,Bakery,1,3.5,3.5,Card,5,2026-01-10 14:06:00.974478
83,2025-09-21,09:48:00.974478,Croissant,Bakery,1,3.5,3.5,Card,5,2025-09-21 09:48:00.974478
84,2025-12-24,01:37:00.974478,Chai Latte,Tea,1,4.25,4.25,Card,2,2025-12-24 01:37:00.974478
85,2025-11-06,12:26:00.974478,Croissant,Bakery,1,3.5,3.5,Card,3,2025-11-06 12:26:00.974478
86,2025-11-10,09:19:00.974478,Turkey Club,Sandwich,1,7.5,7.5,Card,4,2025-11-10 09:19:00.974478
87,2025-12-22,09:21:00.974478,Latte,Coffee,1,4.0,4.0,Cash,2,2025-12-22 09:21:00.974478
88,2026-01-13,08:50:00.974478,Bagel,Bakery,1,2.5,2.5,Card,5,2026-01-13 08:50:00.974478
89,2025-10-09,11:01:00.974478,Mocha,Coffee,1,4.5,4.5,Card,5,2025-10-09 11:01:00.974478
90,2025-12-28,02:41:00.974478,Veggie Wrap,Sandwich,1,7.0,7.0,Mobile Payment,5,2025-12-28 02:41:00.974478
91,2025-11-04,08:27:00.974478,Scone,Bakery,1,3.0,3.0,Card,5,2025-11-04 08:27:00.974478
92,2025-11-21,14:30:00.974478,Latte,Coffee,1,4.0,4.0,Mobile Payment,5,2025-11-21 14:30:00.974478
93,2025-10-08,07:44:00.974478,Herbal Tea,Tea,1,3.0,3.0,Card,1,2025-10-08 07:44:00.974478
94,2025-08-09,07:17:00.974478,Ham & Cheese,Sandwich,1,6.5,6.5,Card,4,2025-08-09 07:17:00.974478
95,2025-09-07,12:34:00.974478,Herbal Tea,Tea,1,3.0,3.0,Cash,4,2025-09-07 12:34:00.974478
96,2025-11-19,07:19:00.974478,Turkey Club,Sandwich,1,7.5,7.5,Cash,5,2025-11-19 07:19:00.974478
97,2025-12-13,11:47:00.974478,Espresso,Coffee,2,2.5,5.0,Card,4,2025-12-13 11:47:00.974478
98,2025-11-22,11:29:00.974478,Black Tea,Tea,2,2.5,5.0,Mobile Payment,4,2025-11-22 11:29:00.974478
99,2025-12-08,08:52:00.974478,Bagel,Bakery,1,2.5,2.5,Card,5,2025-12-08 08:52:00.974478
100,2025-10-20,12:01:00.974478,Ham & Cheese,Sandwich,1,6.5,6.5,Cash,5,2025-10-20 12:01:00.974478
101,2025-09-27,07:18:00.974478,Turkey Club,Sandwich,2,7.5,15.0,Card,5,2025-09-27 07:18:00.974478
102,2025-10-30,08:58:00.974478,Espresso,Coffee,2,2.5,5.0,Card,1,2025-10-30 08:58:00.974478
103,2026-01-04,13:56:00.974478,Croissant,Bakery,1,3.5,3.5,Card,5,2026-01-04 13:56:00.974478
104,2025-11-25,14:45:00.974478,Black Tea,Tea,1,2.5,2.5,Cash,4,2025-11-25 14:45:00.974478
105,2025-08-25,08:28:00.974478,Veggie Wrap,Sandwich,1,7.0,7.0,Cash,5,2025-08-25 08:28:00.974478
106,2025-12-26,12:32:00.974478,Green Tea,Tea,1,2.75,2.75,Card,4,2025-12-26 12:32:00.974478
107,2025-12-16,06:20:00.974478,Chai Latte,Tea,1,4.25,4.25,Card,5,2025-12-16 06:20:00.974478
108,2025-08-31,08:43:00.974478,Cappuccino,Coffee,1,3.75,3.75,Card,5,2025-08-31 08:43:00.974478
109,2025-08-13,10:20:00.974478,Espresso,Coffee,1,2.5,2.5,Card,5,2025-08-13 10:20:00.974478
110,2025-09-23,07:22:00.974478,Latte,Coffee,2,4.0,8.0,Cash,3,2025-09-23 07:22:00.974478
111,2025-09-16,07:20:00.974478,Turkey Club,Sandwich,3,7.5,22.5,Card,4,2025-09-16 07:20:00.974478
112,2025-11-27,12:08:00.974478,Green Tea,Tea,2,2.75,5.5,Mobile Payment,5,2025-11-27 12:08:00.974478
113,2025-10-02,08:47:00.974478,Ham & Cheese,Sandwich,1,6.5,6.5,Cash,5,2025-10-02 08:47:00.974478
114,2025-09-13,09:07:00.974478,Herbal Tea,Tea,2,3.0,6.0,Card,4,2025-09-13 09:07:00.974478
115,2025-08-25,01:09:00.974478,Latte,Coffee,1,4.0,4.0,Card,3,2025-08-25 01:09:00.974478
116,2025-07-22,07:03:00.974478,Chai Latte,Tea,1,4.25,4.25,Cash,5,2025-07-22 07:03:00.974478
117,2026-01-06,14:47:00.974478,Scone,Bakery,1,3.0,3.0,Card,5,2026-01-06 14:47:00.974478
118,2026-01-08,08:38:00.974478,Cappuccino,Coffee,3,3.75,11.25,Card,5,2026-01-08 08:38:00.974478
119,2025-12-07,04:20:00.974478,Scone,Bakery,2,3.0,6.0,Card,5,2025-12-07 04:20:00.974478
120,2025-09-30,07:36:00.974478,Turkey Club,Sandwich,1,7.5,7.5,Mobile Payment,5,2025-09-30 07:36:00.974478
121,2025-10-02,10:35:00.974478,Green Tea,Tea,1,2.75,2.75,Card,5,2025-10-02 10:35:00.974478
122,2025-10-13,10:29:00.974478,Turkey Club,Sandwich,2,7.5,15.0,Card,4,2025-10-13 10:29:00.974478
123,2025-11-10,14:02:00.974478,Ham & Cheese,Sandwich,2,6.5,13.0,Card,5,2025-11-10 14:02:00.974478
124,2025-12-05,08:56:00.974478,Herbal Tea,Tea,1,3.0,3.0,Card,4,2025-12-05 08:56:00.974478
125,2026-01-10,10:09:00.974478,Veggie Wrap,Sandwich,1,7.0,7.0,Mobile Payment,5,2026-01-10 10:09:00.974478
126,2025-12-12,11:06:00.974478,Latte,Coffee,1,4.0,4.0,Card,5,2025-12-12 11:06:00.974478
127,2025-12-12,11:28:00.974478,Espresso,Coffee,1,2.5,2.5,Mobile Payment,5,2025-12-12 11:28:00.974478
128,2025-11-10,14:10:00.974478,Bagel,Bakery,1,2.5,2.5,Cash,4,2025-11-10 14:10:00.974478
129,2025-10-23,14:18:00.974478,Espresso,Coffee,2,2.5,5.0,Card,2,2025-10-23 14:18:00.974478
130,2025-09-12,08:50:00.974478,Croissant,Bakery,2,3.5,7.0,Mobile Payment,4,2025-09-12 08:50:00.974478
131,2025-08-27,10:37:00.974478,Espresso,Coffee,1,2.5,2.5,Mobile Payment,5,2025-08-27 10:37:00.974478
132,2025-08-08,12:39:00.974478,Americano,Coffee,1,3.0,3.0,Card,4,2025-08-08 12:39:00.974478
133,2025-11-11,05:35:00.974478,Herbal Tea,Tea,2,3.0,6.0,Cash,5,2025-11-11 05:35:00.974478
134,2025-09-30,17:28:00.974478,Herbal Tea,Tea,1,3.0,3.0,Cash,5,2025-09-30 17:28:00.974478
135,2025-07-23,12:28:00.974478,Veggie Wrap,Sandwich,1,7.0,7.0,Card,3,2025-07-23 12:28:00.974478
136,2025-08-16,14:14:00.974478,Turkey Club,Sandwich,1,7.5,7.5,Card,5,2025-08-16 14:14:00.974478
137,2025-10-28,10:59:00.974478,Scone,Bakery,1,3.0,3.0,Card,5,2025-10-28 10:59:00.974478
138,2025-12-11,09:32:00.974478,Chai Latte,Tea,1,4.25,4.25,Card,5,2025-12-11 09:32:00.974478
139,2025-09-07,10:56:00.974478,Muffin,Bakery,1,2.75,2.75,Mobile Payment,4,2025-09-07 10:56:00.974478
140,2025-09-09,07:37:00.974478,Black Tea,Tea,1,2.5,2.5,Cash,5,2025-09-09 07:37:00.974478
141,2025-11-09,11:43:00.974478,Green Tea,Tea,1,2.75,2.75,Card,1,2025-11-09 11:43:00.974478
142,2025-09-16,08:19:00.974478,Turkey Club,Sandwich,1,7.5,7.5,Card,4,2025-09-16 08:19:00.974478
143,2025-11-04,13:15:00.974478,Green Tea,Tea,1,2.75,2.75,Card,5,2025-11-04 13:15:00.974478
144,2025-10-20,09:14:00.974478,Black Tea,Tea,1,2.5,2.5,Mobile Payment,5,2025-10-20 09:14:00.974478
145,2025-07-23,07:34:00.974478,Croissant,Bakery,2,3.5,7.0,Card,4,2025-07-23 07:34:00.974478
146,2025-10-10,09:04:00.974478,Croissant,Bakery,3,3.5,10.5,Card,4,2025-10-10 09:04:00.974478
147,2025-11-19,11:36:00.974478,Veggie Wrap,Sandwich,1,7.0,7.0,Card,3,2025-11-19 11:36:00.974478
148,2025-08-26,07:29:00.974478,Black Tea,Tea,1,2.5,2.5,Card,5,2025-08-26 07:29:00.974478
149,2025-08-26,07:24:00.974478,Muffin,Bakery,1,2.75,2.75,Mobile Payment,4,2025-08-26 07:24:00.974478
150,2025-09-30,11:09:00.974478,Muffin,Bakery,1,2.75,2.75,Card,2,2025-09-30 11:09:00.974478
151,2025-10-02,07:10:00.974478,Veggie Wrap,Sandwich,1,7.0,7.0,Card,3,2025-10-02 07:10:00.974478
152,2025-11-30,07:15:00.974478,Chai Latte,Tea,1,4.25,4.25,Card,4,2025-11-30 07:15:00.974478
153,2025-10-29,09:09:00.974478,Croissant,Bakery,1,3.5,3.5,Card,5,2025-10-29 09:09:00.974478
154,2025-11-20,10:23:00.974478,Bagel,Bakery,1,2.5,2.5,Mobile Payment,5,2025-11-20 10:23:00.974478
155,2025-11-07,06:05:00.974478,Scone,Bakery,1,3.0,3.0,Cash,5,2025-11-07 06:05:00.974478
156,2025-12-18,07:03:00.974478,Mocha,Coffee,1,4.5,4.5,Card,4,2025-12-18 07:03:00.974478
157,2025-12-08,10:29:00.974478,Mocha,Coffee,1,4.5,4.5,Card,5,2025-12-08 10:29:00.974478
158,2025-12-23,03:45:00.974478,Ham & Cheese,Sandwich,1,6.5,6.5,Cash,5,2025-12-23 03:45:00.974478
159,2025-11-23,09:03:00.974478,Latte,Coffee,1,4.0,4.0,Card,4,2025-11-23 09:03:00.974478
160,2025-11-26,09:39:00.974478,Mocha,Coffee,1,4.5,4.5,Card,4,2025-11-26 09:39:00.974478
161,2025-10-11,02:00:00.974478,Green Tea,Tea,1,2.75,2.75,Card,4,2025-10-11 02:00:00.974478
162,2025-08-27,07:47:00.974478,Bagel,Bakery,2,2.5,5.0,Card,5,2025-08-27 07:47:00.974478
163,2025-07-19,12:15:00.974478,Latte,Coffee,1,4.0,4.0,Card,5,2025-07-19 12:15:00.974478
164,2025-09-08,10:57:00.974478,Black Tea,Tea,1,2.5,2.5,Card,3,2025-09-08 10:57:00.974478
165,2025-12-26,08:41:00.974478,Black Tea,Tea,1,2.5,2.5,Cash,5,2025-12-26 08:41:00.974478
166,2025-12-21,08:58:00.974478,Americano,Coffee,3,3.0,9.0,Cash,4,2025-12-21 08:58:00.974478
167,2025-08-25,07:14:00.974478,Black Tea,Tea,1,2.5,2.5,Card,4,2025-08-25 07:14:00.974478
168,2025-12-11,07:24:00.974478,Green Tea,Tea,1,2.75,2.75,Card,5,2025-12-11 07:24:00.974478
169,2025-11-28,07:38:00.974478,Black Tea,Tea,1,2.5,2.5,Card,5,2025-11-28 07:38:00.974478
170,2025-08-06,07:05:00.974478,Cappuccino,Coffee,1,3.75,3.75,Mobile Payment,5,2025-08-06 07:05:00.974478
171,2025-10-16,12:06:00.974478,Mocha,Coffee,1,4.5,4.5,Card,5,2025-10-16 12:06:00.974478
172,2025-12-05,14:25:00.974478,Black Tea,Tea,1,2.5,2.5,Card,4,2025-12-05 14:25:00.974478
173,2025-10-08,11:32:00.974478,Ham & Cheese,Sandwich,1,6.5,6.5,Card,4,2025-10-08 11:32:00.974478
174,2025-08-02,09:27:00.974478,Herbal Tea,Tea,1,3.0,3.0,Card,5,2025-08-02 09:27:00.974478
175,2025-12-08,08:28:00.974478,Americano,Coffee,1,3.0,3.0,Card,4,2025-12-08 08:28:00.974478
176,2025-08-02,09:57:00.974478,Herbal Tea,Tea,1,3.0,3.0,Card,3,2025-08-02 09:57:00.974478
177,2025-08-19,06:23:00.974478,Americano,Coffee,3,3.0,9.0,Card,5,2025-08-19 06:23:00.974478
178,2025-08-18,08:56:00.974478,Americano,Coffee,1,3.0,3.0,Cash,5,2025-08-18 08:56:00.974478
179,2025-09-15,09:11:00.974478,Scone,Bakery,1,3.0,3.0,Card,5,2025-09-15 09:11:00.974478
180,2025-12-29,12:23:00.974478,Ham & Cheese,Sandwich,3,6.5,19.5,Card,5,2025-12-29 12:23:00.974478
181,2025-08-10,14:10:00.974478,Americano,Coffee,1,3.0,3.0,Card,5,2025-08-10 14:10:00.974478
182,2025-10-20,10:44:00.974478,Scone,Bakery,2,3.0,6.0,Card,5,2025-10-20 10:44:00.974478
183,2025-12-27,07:20:00.974478,Mocha,Coffee,1,4.5,4.5,Card,5,2025-12-27 07:20:00.974478
184,2025-10-13,11:39:00.974478,Veggie Wrap,Sandwich,1,7.0,7.0,Card,5,2025-10-13 11:39:00.974478
185,2025-11-30,08:48:00.974478,Herbal Tea,Tea,2,3.0,6.0,Card,4,2025-11-30 08:48:00.974478
186,2025-08-07,09:18:00.974478,Veggie Wrap,Sandwich,1,7.0,7.0,Cash,5,2025-08-07 09:18:00.974478
187,2025-10-19,08:50:00.974478,Muffin,Bakery,2,2.75,5.5,Card,5,2025-10-19 08:50:00.974478
188,2025-11-06,13:12:00.974478,Black Tea,Tea,1,2.5,2.5,Card,5,2025-11-06 13:12:00.974478
189,2025-09-27,10:17:00.974478,Chai Latte,Tea,1,4.25,4.25,Card,5,2025-09-27 10:17:00.974478
190,2025-08-10,10:20:00.974478,Turkey Club,Sandwich,1,7.5,7.5,Mobile Payment,5,2025-08-10 10:20:00.974478
191,2026-01-12,07:35:00.974478,Cappuccino,Coffee,1,3.75,3.75,Card,5,2026-01-12 07:35:00.974478
192,2025-10-19,03:43:00.974478,Scone,Bakery,1,3.0,3.0,Cash,5,2025-10-19 03:43:00.974478
193,2025-12-11,08:42:00.974478,Espresso,Coffee,2,2.5,5.0,Card,5,2025-12-11 08:42:00.974478
194,2025-12-30,07:17:00.974478,Ham & Cheese,Sandwich,1,6.5,6.5,Cash,3,2025-12-30 07:17:00.974478
195,2025-09-14,08:31:00.974478,Turkey Club,Sandwich,1,7.5,7.5,Cash,5,2025-09-14 08:31:00.974478
196,2026-01-03,11:54:00.974478,Ham & Cheese,Sandwich,1,6.5,6.5,Card,4,2026-01-03 11:54:00.974478
197,2025-10-21,07:41:00.974478,Muffin,Bakery,2,2.75,5.5,Card,4,2025-10-21 07:41:00.974478
198,2025-09-06,09:23:00.974478,Chai Latte,Tea,2,4.25,8.5,Card,5,2025-09-06 09:23:00.974478
199,2025-12-17,09:40:00.974478,Ham & Cheese,Sandwich,1,6.5,6.5,Card,5,2025-12-17 09:40:00.974478
200,2025-09-11,14:04:00.974478,Veggie Wrap,Sandwich,1,7.0,7.0,Cash,5,2025-09-11 14:04:00.974478
201,2025-12-14,11:56:00.974478,Mocha,Coffee,1,4.5,4.5,Card,5,2025-12-14 11:56:00.974478
202,2026-01-02,09:49:00.974478,Black Tea,Tea,1,2.5,2.5,Mobile Payment,5,2026-01-02 09:49:00.974478
203,2025-07-22,09:24:00.974478,Latte,Coffee,1,4.0,4.0,Mobile Payment,5,2025-07-22 09:24:00.974478
204,2026-01-14,07:20:00.974478,Croissant,Bakery,2,3.5,7.0,Mobile Payment,5,2026-01-14 07:20:00.974478
205,2025-10-25,10:34:00.974478,Cappuccino,Coffee,1,3.75,3.75,Card,4,2025-10-25 10:34:00.974478
206,2025-10-31,12:10:00.974478,Muffin,Bakery,1,2.75,2.75,Card,4,2025-10-31 12:10:00.974478
207,2025-11-06,09:39:00.974478,Turkey Club,Sandwich,2,7.5,15.0,Card,4,2025-11-06 09:39:00.974478
208,2025-12-22,11:35:00.974478,Veggie Wrap,Sandwich,1,7.0,7.0,Card,4,2025-12-22 11:35:00.974478
209,2025-09-20,07:50:00.974478,Americano,Coffee,1,3.0,3.0,Card,4,2025-09-20 07:50:00.974478
210,2025-11-07,13:45:00.974478,Latte,Coffee,1,4.0,4.0,Card,5,2025-11-07 13:45:00.974478
211,2025-08-19,01:16:00.974478,Herbal Tea,Tea,1,3.0,3.0,Card,5,2025-08-19 01:16:00.974478
212,2025-07-25,07:25:00.974478,Espresso,Coffee,1,2.5,2.5,Card,5,2025-07-25 07:25:00.974478
213,2025-10-15,09:15:00.974478,Espresso,Coffee,1,2.5,2.5,Card,5,2025-10-15 09:15:00.974478
214,2026-01-12,08:16:00.974478,Turkey Club,Sandwich,2,7.5,15.0,Card,4,2026-01-12 08:16:00.974478
215,2025-09-29,03:39:00.974478,Scone,Bakery,1,3.0,3.0,Card,3,2025-09-29 03:39:00.974478
216,2025-07-31,12:56:00.974478,Bagel,Bakery,1,2.5,2.5,Card,4,2025-07-31 12:56:00.974478
217,2025-10-14,09:12:00.974478,Cappuccino,Coffee,1,3.75,3.75,Card,4,2025-10-14 09:12:00.974478
218,2025-12-24,12:29:00.974478,Espresso,Coffee,2,2.5,5.0,Card,4,2025-12-24 12:29:00.974478
219,2025-07-21,11:15:00.974478,Scone,Bakery,1,3.0,3.0,Card,4,2025-07-21 11:15:00.974478
220,2025-12-02,11:02:00.974478,Muffin,Bakery,1,2.75,2.75,Card,4,2025-12-02 11:02:00.974478
221,2025-11-02,08:00:00.974478,Herbal Tea,Tea,1,3.0,3.0,Card,3,2025-11-02 08:00:00.974478
222,2025-11-27,12:58:00.974478,Herbal Tea,Tea,1,3.0,3.0,Cash,4,2025-11-27 12:58:00.974478
223,2025-11-28,07:59:00.974478,Croissant,Bakery,1,3.5,3.5,Cash,5,2025-11-28 07:59:00.974478
224,2026-01-15,12:43:00.974478,Turkey Club,Sandwich,1,7.5,7.5,Cash,4,2026-01-15 12:43:00.974478
225,2025-12-05,08:00:00.974478,Herbal Tea,Tea,2,3.0,6.0,Card,3,2025-12-05 08:00:00.974478
226,2025-11-25,08:29:00.974478,Americano,Coffee,1,3.0,3.0,Card,5,2025-11-25 08:29:00.974478
227,2025-08-06,09:01:00.974478,Black Tea,Tea,2,2.5,5.0,Cash,4,2025-08-06 09:01:00.974478
228,2025-10-01,08:33:00.974478,Green Tea,Tea,1,2.75,2.75,Card,4,2025-10-01 08:33:00.974478
